DC,Dd,ID,iz,izL,wlp,wlpL
0.0035613650276788977,0.0035890061345715263,9.0,22,4,0,0
-0.0017624097367760633,-0.0017689529220952654,10.0,67,59,2,2
-0.2049295440715369,-0.2057750450758919,10.0,79,67,2,2
-0.37136052330234454,-0.37341550450831307,10.0,33,79,2,2
1.559519180460711e-11,1.559508078230465e-11,10.0,34,33,2,2
-0.4222400026216828,-0.5206451895583544,11.0,67,68,0,1
-6.429856647116594e-13,-6.430411758628907e-13,11.0,68,67,0,0
6.020961507147149e-12,6.020961507147149e-12,11.0,59,68,0,0
-1.3172796187177482e-12,-1.3172796187177482e-12,11.0,67,59,0,0
2.8066438062523957e-12,2.8066438062523957e-12,11.0,59,67,0,0
3.0576652321201436e-12,3.0576652321201436e-12,11.0,67,59,0,0
6.861122781032236e-12,6.8611782921834674e-12,11.0,66,67,0,0
-1.3991585667838535e-12,-1.3992140779350848e-12,11.0,66,66,0,0
2.982170066445633e-12,2.982170066445633e-12,11.0,58,66,0,0
2.7508550992649816e-12,2.7507995881137504e-12,11.0,58,58,0,0
1.8162563111823182e-05,1.838729407133144e-05,11.0,57,58,0,0
0.00033073714526565823,0.00033482873953560865,11.0,66,57,0,0
0.0008552037559675374,0.0008657772491791338,11.0,66,66,0,0
0.0024202618668855425,0.00245013572409436,11.0,66,66,0,0
0.0030134144287998765,0.003050507553097881,11.0,67,66,0,0
0.00262741393972854,0.002659663445535365,11.0,76,67,0,0
0.004995432628690177,0.00505651170361221,11.0,68,76,0,0
0.007857673082180217,0.00790100042840372,12.0,67,57,1,1
0.022057438773769103,0.022177250546273064,12.0,58,67,1,1
-0.08150196444878106,-0.08195821683254992,12.0,32,58,1,1
-0.006715089986922634,-0.006754375572089855,12.0,49,32,1,1
0.026190235750919555,0.02634196838645053,12.0,41,49,1,1
0.17990595920764635,0.18084691181174056,12.0,63,41,1,1
-0.0031919140003927315,-0.0032059761072885107,13.0,42,44,2,2
-0.06650574544719912,-0.06680923366606006,13.0,42,42,2,2
-0.04204300294122748,-0.042245588883336904,13.0,34,42,2,2
0.02001963506954718,0.020104268308547696,14.0,78,78,2,2
0.0014517103956040167,0.0014577816081662032,14.0,79,78,2,2
0.00884456387479816,0.008881362206954596,14.0,69,79,2,2
0.009984435656368251,0.0100448807405073,15.0,31,31,1,1
0.016590379043040088,0.0166894831507442,15.0,41,31,1,1
0.03687834705410464,0.037092807767723,15.0,41,41,1,1
0.015013522241189792,0.015098578278511965,15.0,39,41,1,1
0.017061005233808574,0.017156114830646774,15.0,41,39,1,1
-0.0018713101286916833,-0.001883434796591421,16.0,30,41,1,1
0.02425880521476398,0.02441422688682149,16.0,31,30,1,1
0.024956764454972608,0.025112747152067516,16.0,31,31,1,1
0.0333358293896812,0.03353816501899537,16.0,32,31,1,1
0.05020013396425489,0.05049230992522599,16.0,50,32,1,1
-0.43050564417543596,-0.5374756418786,16.0,41,50,0,1
2.6809998665555668e-11,2.6809776620950743e-11,16.0,41,41,0,0
0.046590728479711074,0.047200464987491086,16.0,50,41,0,0
0.059212255624137566,0.05994678933778985,16.0,39,50,0,0
0.1557999996003487,0.15753507225080665,16.0,50,39,0,0
0.23488186086336707,0.23703206259010384,16.0,30,50,0,0
0.14889971243045025,0.15002141912213723,16.0,48,30,0,0
0.18965442717627246,0.19150005849323748,16.0,40,48,0,0
0.06239219461674389,0.0629978604883561,16.0,31,40,0,0
0.24202699899015778,0.24416233817682823,16.0,58,31,0,0
-0.10998134582313468,-0.11095398861798811,16.0,67,58,0,0
0.030280214183701942,0.03046274482991862,17.0,39,32,1,1
